id,name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
35968,Steven Anderson,66.4,54.4,20.2,72.4,53.4,22.6,46.4,47.4,21.0,41.4,58.4,45.8,54.8,63.0,67.4,58.0,34.4,68.8,63.0,80.0,22.2,72.4,65.4,27.4,48.4,21.4,63.8,64.4,62.2,10.4,11.4,10.4,8.4,6.4,def
47575,Murray Davidson,65.75,53.5,57.5,67.5,66.0,28.5,64.75,42.5,63.5,62.5,65.75,73.0,66.5,80.0,71.5,55.0,67.5,81.0,91.0,55.75,59.5,64.5,51.0,66.5,64.5,53.5,62.5,63.5,59.75,6.5,9.5,11.5,6.5,15.5,mid
67228,Brian Easton,64.6666666667,63.3333333333,20.3333333333,66.3333333333,61.3333333333,33.3333333333,56.3333333333,37.3333333333,30.3333333333,47.3333333333,61.3333333333,59.3333333333,70.0,60.0,63.3333333333,63.0,22.3333333333,62.0,82.0,80.0,22.3333333333,68.3333333333,54.3333333333,46.3333333333,51.3333333333,21.3333333333,66.3333333333,67.0,61.3333333333,11.3333333333,8.33333333333,10.3333333333,13.3333333333,9.33333333333,def
110738,Graham Cummins,59.1666666667,48.8333333333,58.8333333333,65.8333333333,55.8333333333,48.8333333333,50.8333333333,42.8333333333,34.8333333333,41.8333333333,52.8333333333,70.5,70.6666666667,68.8333333333,59.8333333333,63.0,59.8333333333,80.1666666667,84.0,72.0,48.8333333333,66.8333333333,45.8333333333,57.3333333333,47.8333333333,55.8333333333,29.8333333333,28.8333333333,25.8333333333,7.83333333333,15.8333333333,6.83333333333,5.83333333333,12.8333333333,for
172489,Zander Clark,51.0,10.0,11.0,20.0,24.0,13.0,12.0,13.0,12.0,19.0,21.0,31.0,31.0,55.0,39.0,51.0,15.0,48.0,24.0,62.0,13.0,14.0,19.0,13.0,14.5,24.0,13.0,14.0,11.0,48.0,53.0,53.0,54.0,56.0,gk
181262,David Wotherspoon,64.8,65.2,47.4,62.4,65.2,42.4,68.6,64.2,68.4,62.4,67.2,77.2,75.0,73.0,57.4,62.0,65.4,64.0,73.0,70.0,62.4,57.4,46.4,48.4,61.4,53.4,61.4,62.4,57.4,8.4,11.4,8.4,15.4,6.4,mid
189927,Joe Shaughnessy,61.0,34.5,20.5,61.5,64.5,20.5,54.5,35.5,30.5,50.5,63.5,68.0,72.0,71.0,56.5,53.0,19.5,68.5,71.0,71.0,19.0,66.5,58.5,21.5,31.5,34.5,63.0,63.5,62.0,9.5,15.5,11.5,6.5,15.5,def
282253,Michael O'Halloran,66.8571428571,64.7142857143,66.5714285714,50.0,54.5714285714,57.5714285714,73.0,54.8571428571,39.5714285714,50.5714285714,71.5714285714,88.8571428571,89.8571428571,81.1428571429,60.5714285714,55.1428571429,72.5714285714,62.0,67.4285714286,71.0,64.2857142857,30.5714285714,51.5714285714,66.5714285714,54.1428571429,70.5714285714,25.5714285714,20.5714285714,30.5714285714,14.5714285714,12.5714285714,5.57142857143,14.5714285714,12.5714285714,for
301237,Brad McKay,60.0,37.0,24.0,61.0,35.0,23.0,52.0,30.0,29.0,38.0,35.0,68.5,70.0,44.0,58.0,57.0,29.0,73.0,61.0,71.0,28.0,66.0,57.0,43.0,39.0,39.0,60.0,65.0,61.0,14.0,13.0,8.0,13.0,7.0,def
314399,Christopher Kane,60.2,43.4,63.4,64.4,43.4,57.4,66.4,53.4,50.4,52.4,62.4,73.0,77.6,60.0,62.4,80.4,68.4,68.6,36.2,37.4,57.4,51.4,27.4,39.8,26.4,48.4,30.8,42.4,33.4,10.4,8.4,13.4,10.4,15.4,for
388456,Scott Brown,54.0,45.0,31.0,43.0,61.0,38.0,50.0,39.0,40.0,57.0,55.0,54.0,68.0,57.0,43.0,60.0,44.0,54.0,70.0,60.0,32.0,51.0,48.0,37.0,62.0,51.0,48.0,53.0,45.0,15.0,15.0,10.0,7.0,11.0,mid
408981,Craig Thomson,52.3333333333,48.3333333333,36.3333333333,48.3333333333,56.3333333333,38.3333333333,52.3333333333,44.3333333333,42.3333333333,52.3333333333,54.3333333333,61.0,62.0,58.0,52.3333333333,66.0,49.3333333333,61.0,58.0,36.6666666667,42.3333333333,54.3333333333,52.3333333333,43.3333333333,53.3333333333,50.3333333333,45.3333333333,50.3333333333,51.3333333333,13.3333333333,9.33333333333,14.3333333333,8.33333333333,13.3333333333,for
449205,Darnell Fisher,57.4,48.2,24.0,44.2,47.2,25.2,62.2,31.2,32.2,43.2,60.8,66.0,67.2,57.0,55.2,75.0,32.2,61.0,57.6,56.0,25.2,51.2,61.2,37.2,37.2,35.2,60.8,61.6,58.8,11.2,13.2,9.2,13.2,5.2,mid
